brand,product,hex,H,S,V,Lightness,country
Maybelline,Fit Me,#3f2018,12,62,25,16,US
L'Oréal,Infalliable,#4d2c0a,30,87,30,22,US
L'Oréal,Infalliable,#4d2006,22,92,30,19,US
Maybelline,Fit Me,#5c4433,25,45,36,31,US
House of Tara,Oil Free,#5b2717,14,75,36,23,Nigeria
Maybelline,Fit Me,#5e3a23,23,63,37,28,US
Maybelline,Fit Me,#5e4638,22,40,37,32,US
Estée Lauder,Double Wear,#5e3617,26,76,37,27,US
House of Tara,Oil Free,#602d18,18,75,38,25,Nigeria
Maybelline,Fit Me,#643c27,21,61,39,30,US
L'Oréal,True Match,#693720,19,70,41,29,India
Maybelline,Fit Me,#6b5041,21,39,42,37,US
bareMinerals,barePRO,#6e4b2f,27,57,43,35,US
Maybelline,Fit Me,#735642,24,43,45,39,US
Estée Lauder,Double Wear,#724727,26,66,45,35,US
Elsas Pro,Full Coverage,#734b41,12,43,45,36,Nigeria
L'Oréal,Infalliable,#754728,24,66,46,35,US
House of Tara,Oil Free,#75391c,20,76,46,32,Nigeria
bareMinerals,barePRO,#775436,28,55,47,39,US
Estée Lauder,Double Wear,#77421e,24,75,47,34,US
House of Tara,Oil Free,#783f23,20,71,47,34,Nigeria
Trim & Prissy,Hi - Def,#795340,20,47,47,39,Nigeria
Elsas Pro,Full Coverage,#774c43,10,44,47,37,Nigeria
Maybelline,Fit Me,#7d5631,29,61,49,40,US
Maybelline,Fit Me,#7d5c4d,19,38,49,42,US
Estée Lauder,Double Wear,#7e512d,27,64,49,39,US
Maybelline,Fit Me,#7f5c3b,29,54,50,42,US
Elsas Pro,Full Coverage,#815d51,15,37,51,43,Nigeria
Maybelline,Fit Me,#84583f,22,52,52,42,US
Elsas Pro,Full Coverage,#845949,16,45,52,42,Nigeria
Estée Lauder,Double Wear,#864f26,26,72,53,40,US
Elsas Pro,Full Coverage,#88614d,20,43,53,45,Nigeria
bareMinerals,barePRO,#8a5833,26,63,54,43,US
Estée Lauder,Double Wear,#895c26,33,72,54,43,US
House of Tara,Oil Free,#89562c,27,68,54,42,Nigeria
bareMinerals,barePRO,#8d5c31,28,65,55,44,US
Trim & Prissy,Flawless Finish,#8c5b3d,23,56,55,44,Nigeria
Trim & Prissy,Hi - Def,#8c5b3d,23,56,55,44,Nigeria
Elsas Pro,Full Coverage,#8b614b,21,46,55,45,Nigeria
Estée Lauder,Double Wear,#8f4d2b,20,70,56,41,US
Estée Lauder,Double Wear,#8f5c35,26,63,56,44,US
Revlon,ColorStay,#8e6558,14,38,56,47,US
Hegai and Ester,Photo Perfect,#904134,8,64,56,38,Nigeria
House of Tara,Oil Free,#904d2e,19,68,56,41,Nigeria
Elsas Pro,Full Coverage,#906656,17,40,56,47,Nigeria
Estée Lauder,Double Wear,#925b2d,27,69,57,44,US
L'Oréal,Infalliable,#925422,27,77,57,43,US
Hegai and Ester,Photo Perfect,#92524e,4,47,57,43,Nigeria
Hegai and Ester,Photo Perfect,#915831,24,66,57,43,Nigeria
bareMinerals,barePRO,#976236,27,64,59,47,US
Estée Lauder,Double Wear,#99562c,23,71,60,44,US
House of Tara,Oil Free,#9a572c,23,71,60,44,Nigeria
Maybelline,Fit Me,#9c744f,29,49,61,52,US
Maybelline,Fit Me,#9d7359,23,43,62,52,US
Maybelline,Fit Me,#9d6f48,28,54,62,51,US
Trim & Prissy,Hi - Def,#9d6d49,26,54,62,51,Nigeria
bareMinerals,barePRO,#a16c38,30,65,63,51,US
Estée Lauder,Double Wear,#a35829,23,75,64,46,US
House of Tara,Oil Free,#a36c3b,28,64,64,51,Nigeria
Revlon,ColorStay,#a7745e,18,44,65,54,US
House of Tara,Oil Free,#a77546,29,58,65,54,Nigeria
Maybelline,Fit Me,#a86d40,26,62,66,52,US
Estée Lauder,Double Wear,#a85f2a,25,75,66,48,US
bareMinerals,barePRO,#ab7945,31,60,67,55,US
bareMinerals,barePRO,#ab7944,31,60,67,55,US
Estée Lauder,Double Wear,#aa6533,25,70,67,59,US
bareMinerals,barePRO,#ad7d59,26,49,68,57,US
Estée Lauder,Double Wear,#ad7247,25,59,68,54,US
Hegai and Ester,Photo Perfect,#ad543d,12,65,68,47,Nigeria
House of Tara,Oil Free,#ae7748,28,59,68,55,Nigeria
Maybelline,Fit Me,#b18b65,30,43,69,61,US
Trim & Prissy,Flawless Finish,#b17e4f,29,55,69,57,Nigeria
Trim & Prissy,Flawless Finish,#b0704d,21,56,69,54,Nigeria
Trim & Prissy,Hi - Def,#b17e51,28,54,69,57,Nigeria
Trim & Prissy,Hi - Def,#b0704d,21,56,69,54,Nigeria
Shu Uemera,Petal Skin Fluid,#af8749,36,58,69,59,Japan
L'Oréal,True Match,#b07555,21,52,69,55,India
Maybelline,Fit Me,#b2856f,20,38,70,60,US
bareMinerals,barePRO,#b38355,29,53,70,59,US
Kuddy,Matte Wear,#b2724f,21,56,70,54,Nigeria
Estée Lauder,Double Wear,#b56e38,26,69,71,54,US
House of Tara,Oil Free,#b68358,27,52,71,59,Nigeria
L'Oréal,Infalliable,#b87740,28,65,72,56,US
Olivia,Foundation,#b76f47,21,61,72,54,India
Lotus Herbals,Make-Up Ecostay,#b7a597,26,17,72,69,India
Estée Lauder,Double Wear,#bb8046,30,63,73,59,US
Revlon,ColorStay,#ba8568,21,44,73,60,US
Elsas Pro,Full Coverage,#ba8261,22,48,73,60,Nigeria
Maybelline,Fit Me,#bd9584,18,30,74,65,US
