brand,product,hex,H,S,V,L,country
Maybelline,Fit Me,3f2018,12,0.62,0.25,16,US
L'Or??al,Infalliable,4d2c0a,30,0.87,0.3,22,US
L'Or??al,Infalliable,4d2006,22,0.92,0.3,19,US
Maybelline,Fit Me,5c4433,25,0.45,0.36,31,US
House of Tara,Oil Free,5b2717,14,0.75,0.36,23,Nigeria
Maybelline,Fit Me,5e4638,22,0.4,0.37,32,US
Maybelline,Fit Me,5e3a23,23,0.63,0.37,28,US
Est??e Lauder,Double Wear,5e3617,26,0.76,0.37,27,US
House of Tara,Oil Free,602d18,18,0.75,0.38,25,Nigeria
Maybelline,Fit Me,643c27,21,0.61,0.39,30,US
L'Or??al,True Match,693720,19,0.7,0.41,29,India
Maybelline,Fit Me,6b5041,21,0.39,0.42,37,US
bareMinerals,barePRO,6e4b2f,27,0.57,0.43,35,US
Elsas Pro,Full Coverage,734b41,12,0.43,0.45,36,Nigeria
Maybelline,Fit Me,735642,24,0.43,0.45,39,US
Est??e Lauder,Double Wear,724727,26,0.66,0.45,35,US
L'Or??al,Infalliable,754728,24,0.66,0.46,35,US
House of Tara,Oil Free,75391c,20,0.76,0.46,32,Nigeria
Elsas Pro,Full Coverage,774c43,10,0.44,0.47,37,Nigeria
Trim & Prissy,Hi - Def,795340,20,0.47,0.47,39,Nigeria
bareMinerals,barePRO,775436,28,0.55,0.47,39,US
House of Tara,Oil Free,783f23,20,0.71,0.47,34,Nigeria
Est??e Lauder,Double Wear,77421e,24,0.75,0.47,34,US
Maybelline,Fit Me,7d5c4d,19,0.38,0.49,42,US
Maybelline,Fit Me,7d5631,29,0.61,0.49,40,US
Est??e Lauder,Double Wear,7e512d,27,0.64,0.49,39,US
Maybelline,Fit Me,7f5c3b,29,0.54,0.5,42,US
Elsas Pro,Full Coverage,815d51,15,0.37,0.51,43,Nigeria
Elsas Pro,Full Coverage,845949,16,0.45,0.52,42,Nigeria
Maybelline,Fit Me,84583f,22,0.52,0.52,42,US
Elsas Pro,Full Coverage,88614d,20,0.43,0.53,45,Nigeria
Est??e Lauder,Double Wear,864f26,26,0.72,0.53,40,US
bareMinerals,barePRO,8a5833,26,0.63,0.54,43,US
House of Tara,Oil Free,89562c,27,0.68,0.54,42,Nigeria
Est??e Lauder,Double Wear,895c26,33,0.72,0.54,43,US
Elsas Pro,Full Coverage,8b614b,21,0.46,0.55,45,Nigeria
Trim & Prissy,Flawless Finish,8c5b3d,23,0.56,0.55,44,Nigeria
Trim & Prissy,Hi - Def,8c5b3d,23,0.56,0.55,44,Nigeria
bareMinerals,barePRO,8d5c31,28,0.65,0.55,44,US
Revlon,ColorStay,8e6558,14,0.38,0.56,47,US
Elsas Pro,Full Coverage,906656,17,0.4,0.56,47,Nigeria
Est??e Lauder,Double Wear,8f5c35,26,0.63,0.56,44,US
Hegai and Ester,Photo Perfect,904134,8,0.64,0.56,38,Nigeria
House of Tara,Oil Free,904d2e,19,0.68,0.56,41,Nigeria
Est??e Lauder,Double Wear,8f4d2b,20,0.7,0.56,41,US
Hegai and Ester,Photo Perfect,92524e,4,0.47,0.57,43,Nigeria
Hegai and Ester,Photo Perfect,915831,24,0.66,0.57,43,Nigeria
Est??e Lauder,Double Wear,925b2d,27,0.69,0.57,44,US
L'Or??al,Infalliable,925422,27,0.77,0.57,43,US
bareMinerals,barePRO,976236,27,0.64,0.59,47,US
Est??e Lauder,Double Wear,99562c,23,0.71,0.6,44,US
House of Tara,Oil Free,9a572c,23,0.71,0.6,44,Nigeria
Maybelline,Fit Me,9c744f,29,0.49,0.61,52,US
Maybelline,Fit Me,9d7359,23,0.43,0.62,52,US
Trim & Prissy,Hi - Def,9d6d49,26,0.54,0.62,51,Nigeria
Maybelline,Fit Me,9d6f48,28,0.54,0.62,51,US
bareMinerals,barePRO,a16c38,30,0.65,0.63,51,US
House of Tara,Oil Free,a36c3b,28,0.64,0.64,51,Nigeria
Est??e Lauder,Double Wear,a35829,23,0.75,0.64,46,US
Revlon,ColorStay,a7745e,18,0.44,0.65,54,US
House of Tara,Oil Free,a77546,29,0.58,0.65,54,Nigeria
Maybelline,Fit Me,a86d40,26,0.62,0.66,52,US
Est??e Lauder,Double Wear,a85f2a,25,0.75,0.66,48,US
bareMinerals,barePRO,ab7945,31,0.6,0.67,55,US
bareMinerals,barePRO,ab7944,31,0.6,0.67,55,US
Est??e Lauder,Double Wear,aa6533,25,0.7,0.67,59,US
bareMinerals,barePRO,ad7d59,26,0.49,0.68,57,US
Est??e Lauder,Double Wear,ad7247,25,0.59,0.68,54,US
